datetime,code,open,close,high,low,vol,amount,p_change
2012-08-27,000300,2268.49,2228.2,2268.49,2228.15,373861.0,35384156160.0,-2.09
2012-08-28,000300,2226.9,2238.41,2250.6,2222.0,337736.0,30331076608.0,0.46
2012-08-29,000300,2230.2,2214.81,2240.11,2214.43,290106.0,27396186112.0,-1.05
2012-08-30,000300,2204.51,2211.37,2223.2,2188.72,354913.0,33867206656.0,-0.16
2012-08-31,000300,2205.57,2204.87,2218.87,2203.12,259649.0,23340890112.0,-0.29
2012-09-03,000300,2201.12,2228.37,2236.56,2197.71,385485.0,35299176448.0,1.07
2012-09-04,000300,2231.72,2204.41,2234.88,2199.51,348526.0,33220204544.0,-1.08
2012-09-05,000300,2199.74,2199.88,2209.54,2186.96,347518.0,30445168640.0,-0.21
2012-09-06,000300,2204.44,2217.82,2218.68,2199.86,316958.0,26873315328.0,0.82
2012-09-07,000300,2233.91,2317.18,2341.52,2233.91,945297.0,84302249984.0,4.48
2012-09-10,000300,2320.56,2326.67,2334.5,2313.57,653305.0,63252037632.0,0.41
2012-09-11,000300,2316.53,2311.89,2316.53,2294.82,462607.0,43389767680.0,-0.64
2012-09-12,000300,2325.93,2320.07,2337.2,2298.3,496225.0,46485176320.0,0.35
2012-09-13,000300,2316.68,2298.46,2325.53,2298.37,420498.0,38023999488.0,-0.93
2012-09-14,000300,2324.01,2315.54,2332.42,2298.83,615718.0,55438614528.0,0.74
2012-09-17,000300,2312.05,2258.71,2314.99,2258.18,489847.0,43753168896.0,-2.45
2012-09-18,000300,2249.43,2235.24,2253.14,2228.04,332286.0,30171496448.0,-1.04
2012-09-19,000300,2237.22,2246.24,2249.24,2229.49,343497.0,32607010816.0,0.49
2012-09-20,000300,2236.19,2195.95,2236.19,2194.22,425457.0,38385856512.0,-2.24
2012-09-21,000300,2190.33,2199.06,2217.47,2186.53,381205.0,34043367424.0,0.14
2012-09-24,000300,2183.97,2215.52,2225.8,2172.88,375016.0,33608761344.0,0.75
2012-09-25,000300,2209.98,2210.15,2225.33,2202.38,278770.0,26677063680.0,-0.24
2012-09-26,000300,2208.91,2184.89,2216.82,2181.08,274546.0,24918917120.0,-1.14
2012-09-27,000300,2186.0,2251.72,2266.3,2185.77,530169.0,48210579456.0,3.06
2012-09-28,000300,2235.06,2293.11,2297.03,2234.32,578758.0,54431465472.0,1.84
2012-10-08,000300,2291.96,2270.05,2305.18,2258.11,355344.0,33915840512.0,-1.01
2012-10-09,000300,2281.75,2320.16,2327.73,2281.75,525488.0,48330194944.0,2.21
2012-10-10,000300,2314.59,2324.12,2325.75,2304.61,426862.0,37873995776.0,0.17
2012-10-11,000300,2315.9,2302.53,2321.35,2300.93,413006.0,36172963840.0,-0.93
2012-10-12,000300,2311.28,2304.53,2332.15,2287.01,368741.0,33205903360.0,0.09
2012-10-15,000300,2306.01,2294.86,2307.88,2278.46,286517.0,28569022464.0,-0.42
2012-10-16,000300,2293.24,2298.16,2315.45,2287.59,320596.0,32705140736.0,0.14
2012-10-17,000300,2307.36,2300.8,2312.17,2280.82,333494.0,31270899712.0,0.11
2012-10-18,000300,2307.49,2336.08,2341.12,2305.88,506151.0,45050294272.0,1.53
2012-10-19,000300,2335.11,2332.47,2342.53,2328.73,359277.0,33173030912.0,-0.15
2012-10-22,000300,2320.47,2341.59,2347.9,2315.9,343682.0,32815273984.0,0.39
2012-10-23,000300,2340.89,2312.08,2344.04,2309.25,372212.0,33716877312.0,-1.26
2012-10-24,000300,2303.4,2307.78,2321.43,2302.17,375424.0,30392377344.0,-0.19
2012-10-25,000300,2306.73,2291.24,2322.92,2288.6,443515.0,33183528960.0,-0.72
2012-10-26,000300,2291.31,2247.91,2293.18,2237.06,409005.0,34530066432.0,-1.89
2012-10-29,000300,2241.8,2235.85,2248.14,2227.65,275813.0,25328650240.0,-0.54
2012-10-30,000300,2236.32,2239.88,2257.95,2231.78,340831.0,29516627968.0,0.18
2012-10-31,000300,2241.43,2254.82,2256.1,2233.68,371697.0,30634360832.0,0.67
2012-11-01,000300,2256.61,2297.88,2305.63,2256.41,507617.0,45602140160.0,1.91
2012-11-02,000300,2297.9,2306.77,2309.67,2284.72,398332.0,34893877248.0,0.39
2012-11-05,000300,2302.74,2301.88,2318.23,2290.14,395103.0,33663152128.0,-0.21
2012-11-06,000300,2301.98,2292.21,2304.05,2260.51,392806.0,34473381888.0,-0.42
2012-11-07,000300,2288.76,2287.5,2300.89,2277.02,330674.0,30278449152.0,-0.21
2012-11-08,000300,2269.58,2245.41,2275.4,2245.4,354264.0,30411864064.0,-1.84
2012-11-09,000300,2241.76,2240.92,2252.2,2235.23,305069.0,24374278144.0,-0.2
2012-11-12,000300,2242.96,2251.85,2254.7,2232.74,347216.0,29040822272.0,0.49
2012-11-13,000300,2250.84,2212.44,2250.84,2208.72,340837.0,28818452480.0,-1.75
2012-11-14,000300,2213.09,2223.11,2225.12,2206.0,267587.0,23592323072.0,0.48
2012-11-15,000300,2210.75,2193.62,2220.99,2193.52,283191.0,23778695168.0,-1.33
2012-11-16,000300,2189.51,2177.24,2191.61,2162.98,302477.0,26118246400.0,-0.75
2012-11-19,000300,2175.18,2174.99,2176.49,2149.54,269786.0,26737221632.0,-0.1
2012-11-20,000300,2180.21,2164.88,2184.33,2163.53,239489.0,22999195648.0,-0.46
2012-11-21,000300,2165.41,2194.9,2195.46,2151.38,305084.0,27121950720.0,1.39
2012-11-22,000300,2181.18,2177.55,2185.58,2169.66,229123.0,21536153600.0,-0.79
2012-11-23,000300,2184.41,2192.68,2202.47,2179.73,286674.0,26307629056.0,0.69
2012-11-26,000300,2187.24,2175.6,2191.36,2172.1,247426.0,22231498752.0,-0.78
2012-11-27,000300,2168.59,2150.64,2173.46,2150.22,319467.0,26149734400.0,-1.15
2012-11-28,000300,2142.5,2129.16,2144.8,2126.03,300093.0,24423321600.0,-1.0
2012-11-29,000300,2128.8,2115.68,2140.88,2114.48,296706.0,24016257024.0,-0.63
2012-11-30,000300,2114.24,2139.66,2142.86,2109.96,364069.0,28552067072.0,1.13
2012-12-03,000300,2136.7,2108.85,2152.61,2108.15,401867.0,34173652992.0,-1.44
2012-12-04,000300,2104.93,2131.47,2135.66,2102.14,362259.0,31732336640.0,1.07
2012-12-05,000300,2128.39,2207.88,2219.09,2126.79,824871.0,69109047296.0,3.58
2012-12-06,000300,2205.61,2203.6,2216.98,2191.23,485746.0,42758569984.0,-0.19
2012-12-07,000300,2203.89,2246.76,2250.53,2198.11,761697.0,64996499456.0,1.96
2012-12-10,000300,2254.92,2271.05,2276.28,2250.44,733754.0,61399773184.0,1.08
2012-12-11,000300,2263.21,2258.5,2274.99,2254.3,514687.0,45087981568.0,-0.55
2012-12-12,000300,2257.73,2267.77,2273.21,2247.95,450064.0,39182536704.0,0.41
2012-12-13,000300,2260.6,2242.64,2266.72,2242.56,419421.0,36665683968.0,-1.11
2012-12-14,000300,2245.64,2355.87,2357.11,2245.64,1108925.0,93934739456.0,5.05
2012-12-17,000300,2359.2,2366.7,2380.0,2358.66,940881.0,85000822784.0,0.46
2012-12-18,000300,2361.1,2368.12,2398.63,2347.08,857848.0,78802837504.0,0.06
2012-12-19,000300,2362.8,2371.11,2387.14,2358.03,632925.0,61140746240.0,0.13
2012-12-20,000300,2361.32,2384.82,2391.92,2346.55,656554.0,63028690944.0,0.58
2012-12-21,000300,2386.38,2372.0,2414.22,2365.03,687141.0,66887708672.0,-0.54
2012-12-24,000300,2368.01,2381.22,2396.73,2367.04,530870.0,54121541632.0,0.39
2012-12-25,000300,2373.88,2448.4,2459.3,2365.41,955023.0,89877774336.0,2.82
2012-12-26,000300,2445.99,2457.62,2458.01,2441.64,715918.0,68406243328.0,0.38
2012-12-27,000300,2464.78,2444.59,2479.79,2443.68,732550.0,69327601664.0,-0.53
2012-12-28,000300,2448.08,2480.05,2481.59,2444.38,671663.0,66053287936.0,1.45
2012-12-31,000300,2485.56,2522.95,2522.95,2485.56,820022.0,81149083648.0,1.73
